,New England : wind,Connecticut : wind,Maine : wind,Massachusetts : wind,New Hampshire : wind,Rhode Island : wind,Vermont : wind,Middle Atlantic : wind,New Jersey : wind,New York : wind,Pennsylvania : wind,East North Central : wind,Illinois : wind,Indiana : wind,Michigan : wind,Ohio : wind,South Atlantic : wind,Maryland : wind,North Carolina : wind,West South Central : wind,Texas : wind,Mountain : wind,Arizona : wind,Colorado : wind,Idaho : wind,Montana : wind,Nevada : wind,New Mexico : wind,Utah : wind,Wyoming : wind,Pacific Contiguous : wind,California : wind,Oregon : wind,Washington : wind,Pacific Noncontiguous : wind,Alaska : wind,Hawaii : wind
0,0.19020172910662825,0.5,0.21457489878542513,0.16666666666666663,0.10000000000000003,0.3,0.14814814814814814,0.21482602118003025,0.0,0.14864864864864868,0.29652996845425866,0.07178581935863493,0.08122743682310468,0.1455026455026455,0.07219251336898397,0.08376963350785338,0.3125,0.38461538461538464,0.21739130434782616,0.0,0.0,0.0,0.05185185185185187,0.0,0.3431372549019608,0.0,0.19047619047619047,0.19529085872576174,0.6,0.10378681626928477,0.4767037552155772,0.506717850287908,0.3112078346028292,0.39483870967741935,0.3076923076923076,0.19999999999999996,0.3333333333333335
1,0.6714697406340057,0.5,0.6761133603238866,0.6111111111111112,0.48,0.55,0.8518518518518517,0.5627836611195159,1.0,0.4756756756756758,0.6403785488958991,0.40129449838187703,0.378459687123947,0.4708994708994708,0.39438502673796794,0.47120418848167545,0.5666666666666667,0.5,0.5217391304347826,0.17159413434247872,0.2107583774250441,0.06222654350996604,0.06666666666666665,0.025912838633686652,0.3921568627450981,0.11814345991561181,0.23809523809523814,0.2853185595567867,0.2727272727272728,0.12622720897615713,0.27086230876216966,0.3595649392194497,0.0968443960826986,0.18193548387096775,0.4871794871794871,0.6000000000000003,0.5
2,0.6340057636887607,0.5,0.6437246963562754,0.7222222222222221,0.4600000000000001,0.55,0.6666666666666666,0.5930408472012102,1.0,0.4972972972972972,0.6750788643533123,0.3571638717269785,0.31347773766546333,0.45767195767195756,0.35962566844919786,0.4973821989528796,0.6833333333333332,0.5576923076923077,0.8478260869565217,0.25910596026490074,0.28042328042328035,0.16917841516772003,0.09629629629629632,0.06713780918727907,0.4901960784313725,0.2616033755274261,0.3333333333333335,0.4099722991689751,0.36363636363636365,0.16970546984572232,0.22183588317107095,0.11004478566858605,0.23612622415669207,0.33935483870967736,0.5897435897435898,0.8,0.5833333333333333
3,0.6599423631123918,0.5,0.6801619433198381,0.38888888888888884,0.48,0.55,0.7777777777777778,0.5794251134644478,1.0,0.4864864864864865,0.662460567823344,0.45866431303324506,0.43200962695547535,0.5740740740740741,0.40775401069518713,0.5706806282722513,0.6958333333333334,0.6346153846153846,0.6956521739130435,0.36187322611163686,0.351410934744268,0.31502187651920277,0.1111111111111111,0.4087161366313309,0.5441176470588235,0.2573839662447257,0.38095238095238093,0.3988919667590028,0.21818181818181825,0.19074333800841514,0.15890125173852576,0.06653870761356362,0.176278563656148,0.2632258064516129,0.717948717948718,0.8,0.6666666666666667
4,0.6714697406340057,0.5,0.6720647773279352,0.5555555555555556,0.48,0.8500000000000001,0.7037037037037036,0.7155824508320726,1.0,0.7054054054054054,0.6908517350157728,0.5804648426007649,0.5583634175691938,0.6626984126984127,0.482620320855615,0.806282722513089,0.6583333333333333,0.5384615384615385,0.7826086956521738,0.38741721854304645,0.4056437389770722,0.2649489547885271,0.12592592592592594,0.2850412249705535,0.47549019607843135,0.30379746835443033,0.4285714285714286,0.3836565096952909,0.38181818181818195,0.19495091164095368,0.0504172461752434,0.04478566858605243,0.02829162132752991,0.07999999999999996,0.5128205128205129,0.6000000000000003,0.5
5,0.7608069164265129,0.5,0.7854251012145749,0.6666666666666667,0.56,0.7,0.6666666666666666,0.5642965204236007,1.0,0.5675675675675677,0.5362776025236593,0.46131215063253894,0.45968712394705175,0.5714285714285714,0.356951871657754,0.5287958115183247,0.5166666666666666,0.4615384615384616,0.6304347826086956,0.30924787133396414,0.36360964138741914,0.24696159455517752,0.11851851851851852,0.17432273262661946,0.46568627450980393,0.18143459915611804,0.4285714285714286,0.46398891966759,0.9999999999999999,0.19074333800841514,0.27433936022253125,0.3755598208573256,0.09140369967355819,0.17032258064516126,0.3846153846153847,0.40000000000000013,0.38888888888888884
6,0.786743515850144,0.5,0.7854251012145749,0.6666666666666667,0.5800000000000001,0.8500000000000001,0.8888888888888887,0.7125567322239031,1.0,0.718918918918919,0.6687697160883281,0.5725213298028832,0.5697954271961492,0.6441798941798941,0.4906417112299465,0.6230366492146598,0.6333333333333334,0.5576923076923077,0.8695652173913044,0.3656575212866604,0.37169312169312163,0.2421001458434613,0.11851851851851852,0.26501766784452296,0.4558823529411765,0.17721518987341767,0.4285714285714286,0.39612188365650974,0.4727272727272728,0.18513323983169705,0.27781641168289295,0.3992322456813819,0.08161044613710552,0.14580645161290318,0.5384615384615384,0.8,0.5277777777777779
7,0.7002881844380403,0.5,0.7044534412955467,0.6111111111111112,0.52,0.75,0.7407407407407408,0.6641452344931921,1.0,0.6594594594594595,0.637223974763407,0.6537216828478964,0.6498194945848375,0.7275132275132274,0.56951871657754,0.6387434554973822,0.7333333333333333,0.653846153846154,0.8478260869565217,0.5394985808893094,0.5398295120517342,0.3315508021390374,0.14074074074074078,0.371024734982332,0.5343137254901961,0.26582278481012656,0.5238095238095237,0.43351800554016623,0.4,0.2215988779803647,0.6835883171070931,0.6449136276391554,0.5016322089227422,0.6593548387096775,0.717948717948718,1.0000000000000002,0.6666666666666667
8,0.3112391930835735,0.5,0.31174089068825916,0.2222222222222222,0.20000000000000007,0.6000000000000001,0.2962962962962963,0.2904689863842662,1.0,0.26216216216216215,0.3249211356466876,0.3545160341276846,0.3549939831528279,0.4444444444444444,0.29144385026737973,0.40314136125654454,0.5625,0.5384615384615385,0.4782608695652174,0.4906575212866604,0.5286596119929452,0.22800194457948475,0.1111111111111111,0.19670200235571256,0.4460784313725491,0.16877637130801681,0.38095238095238093,0.45152354570637115,0.4,0.17952314165497896,0.8018080667593881,0.8771593090211132,0.5223068552774756,0.6025806451612903,0.5128205128205129,0.6000000000000003,0.5
9,0.25360230547550433,0.5,0.27125506072874495,0.16666666666666663,0.16000000000000003,0.45,0.18518518518518523,0.35098335854765506,1.0,0.3324324324324325,0.3659305993690852,0.27772874374816126,0.2954271961492178,0.35052910052910047,0.2098930481283423,0.3455497382198953,0.475,0.4230769230769231,0.4347826086956522,0.26750236518448445,0.3123162845385067,0.11424404472532812,0.08148148148148149,0.09540636042402828,0.3431372549019608,0.11814345991561181,0.2857142857142858,0.34764542936288084,0.4181818181818181,0.13183730715287523,0.8518776077885952,0.7018554062699935,0.7997823721436345,0.8141935483870968,0.3076923076923076,0.40000000000000013,0.3333333333333335
