,New England : all utility-scale solar.1,Connecticut : all utility-scale solar.1,Maine : all utility-scale solar.1,Massachusetts : all utility-scale solar.1,Rhode Island : all utility-scale solar.1,Vermont : all utility-scale solar.1,Middle Atlantic : all utility-scale solar.1,New Jersey : all utility-scale solar.1,New York : all utility-scale solar.1,Pennsylvania : all utility-scale solar.1,East North Central : all utility-scale solar.1,Illinois : all utility-scale solar.1,Indiana : all utility-scale solar.1,Michigan : all utility-scale solar.1,Ohio : all utility-scale solar.1,South Atlantic : all utility-scale solar.1,Delaware : all utility-scale solar.1,Florida : all utility-scale solar.1,Maryland : all utility-scale solar.1,North Carolina : all utility-scale solar.1,West South Central : all utility-scale solar.1,Texas : all utility-scale solar.1,Mountain : all utility-scale solar.1,Arizona : all utility-scale solar.1,Colorado : all utility-scale solar.1,Idaho : all utility-scale solar.1,Montana : all utility-scale solar.1,Nevada : all utility-scale solar.1,New Mexico : all utility-scale solar.1,Utah : all utility-scale solar.1,Pacific Contiguous : all utility-scale solar.1,California : all utility-scale solar.1,Oregon : all utility-scale solar.1,Washington : all utility-scale solar.1,Pacific Noncontiguous : all utility-scale solar.1,Hawaii : all utility-scale solar.1
0,0.12252964426877469,0.03999999999999998,0.05,0.18709677419354842,0.0,0.1739130434782609,0.11504424778761058,0.2523364485981308,0.0648148148148148,0.047619047619047616,0.12745098039215685,0.05263157894736842,0.3157894736842105,0.1875,0.0736842105263158,0.1068215892053973,0.33333333333333326,0.030952380952380953,0.23809523809523814,0.16412213740458015,0.05009392611145899,0.04808317089018843,0.4996945632254124,0.5242369838420108,0.35256410256410253,0.6229508196721312,0.5,0.4738878143133462,0.5634920634920635,0.403125,0.5483221476510067,0.5671164772727273,0.23333333333333334,0.0,0.09756097560975607,0.09756097560975607
1,0.12252964426877469,0.03999999999999998,0.05,0.16774193548387095,0.028571428571428574,0.21739130434782608,0.08849557522123891,0.20560747663551399,0.04629629629629631,0.047619047619047616,0.08169934640522876,0.039473684210526314,0.21052631578947367,0.125,0.042105263157894736,0.13343328335832083,0.33333333333333326,0.06071428571428572,0.30952380952380953,0.21755725190839692,0.016906700062617408,0.014944769330734242,0.27061698228466713,0.26929982046678635,0.17948717948717946,0.3770491803278689,0.5,0.2823984526112186,0.30158730158730157,0.22500000000000003,0.35436241610738256,0.3675426136363636,0.14444444444444443,0.0,0.09756097560975607,0.09756097560975607
2,0.0,0.0,0.05,0.0,0.0,0.13043478260869565,0.004424778761061954,0.0934579439252336,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.03298350824587709,0.0,0.005952380952380931,0.11904761904761907,0.07633587786259544,0.025673137132122742,0.025341130604288498,0.15332926084300558,0.1831238779174147,0.09615384615384615,0.22950819672131145,0.25,0.12959381044487422,0.1825396825396825,0.1375,0.14362416107382553,0.14950284090909088,0.061111111111111116,0.14285714285714285,0.02439024390243899,0.02439024390243899
3,0.15810276679841898,0.9200000000000002,0.05,0.10322580645161289,0.0,0.1739130434782609,0.008849557522123852,0.06542056074766356,0.037037037037037035,0.0,0.009803921568627444,0.013157894736842105,0.03508771929824561,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180324,0.0,0.003868471953578312,0.0,0.018750000000000044,0.050000000000000044,0.053267045454545414,0.022222222222222227,0.14285714285714285,0.0,0.0
4,0.10276679841897232,0.08000000000000002,0.0,0.13548387096774195,0.028571428571428574,0.21739130434782608,0.07079646017699115,0.15887850467289716,0.05555555555555555,0.047619047619047616,0.022875816993464054,0.013157894736842105,0.07017543859649122,0.04166666666666666,0.010526315789473682,0.08433283358320842,0.0,0.0714285714285714,0.07142857142857151,0.12722646310432573,0.029430181590482163,0.030539311241065625,0.07391569945021381,0.1077199281867145,0.07692307692307693,0.1639344262295082,0.25,0.036750483558994185,0.055555555555555525,0.06562500000000004,0.06241610738255038,0.06427556818181818,0.04444444444444445,0.2857142857142857,0.02439024390243899,0.02439024390243899
5,0.15415019762845847,0.12,0.0,0.2,0.028571428571428574,0.26086956521739124,0.14601769911504425,0.2523364485981308,0.11111111111111113,0.09523809523809523,0.07843137254901962,0.013157894736842105,0.19298245614035087,0.16666666666666666,0.042105263157894736,0.07083958020989506,0.0,0.0892857142857143,0.09523809523809523,0.11323155216284986,0.02755165936130244,0.029239766081871343,0.09773976786805139,0.10233393177737882,0.10897435897435898,0.180327868852459,0.25,0.08123791102514505,0.08730158730158727,0.08750000000000002,0.139261744966443,0.14453124999999994,0.05555555555555555,0.2857142857142857,0.04878048780487804,0.04878048780487804
6,0.30434782608695643,0.24,0.05,0.3935483870967742,0.05714285714285714,0.4347826086956521,0.33628318584070793,0.5046728971962617,0.24074074074074073,0.14285714285714285,0.1339869281045752,0.039473684210526314,0.3333333333333333,0.20833333333333331,0.0736842105263158,0.27511244377811095,0.6666666666666665,0.2238095238095238,0.47619047619047616,0.4427480916030535,0.06386975579211021,0.06107862248213125,0.36224801466096523,0.3931777378815081,0.3076923076923077,0.4754098360655738,0.25,0.3191489361702127,0.37301587301587297,0.2593750000000001,0.4050335570469799,0.4176136363636364,0.18333333333333335,0.5714285714285714,0.1463414634146341,0.1463414634146341
7,0.35573122529644263,0.32,0.05,0.4580645161290323,0.08571428571428572,0.4782608695652174,0.3008849557522124,0.4672897196261682,0.22222222222222218,0.14285714285714285,0.14052287581699346,0.05263157894736842,0.3684210526315789,0.20833333333333331,0.08421052631578949,0.3054722638680659,0.6666666666666665,0.2642857142857143,0.5476190476190476,0.4669211195928753,0.15278647463994988,0.15139701104613384,0.4862553451435553,0.5385996409335727,0.41025641025641024,0.5901639344262295,0.5,0.41005802707930367,0.5238095238095237,0.35625,0.5288590604026846,0.5454545454545454,0.2277777777777778,0.5714285714285714,0.24390243902439024,0.24390243902439024
8,0.3596837944664031,0.32,0.05,0.46451612903225803,0.08571428571428572,0.4782608695652174,0.3672566371681416,0.542056074766355,0.2685185185185185,0.19047619047619047,0.14705882352941174,0.05263157894736842,0.3859649122807017,0.22916666666666663,0.08421052631578949,0.3658170914542729,1.0,0.27142857142857146,0.6428571428571429,0.5826972010178118,0.13525360050093926,0.13255360623781676,0.5394013439218083,0.5816876122082585,0.46794871794871795,0.6721311475409837,0.5,0.45454545454545453,0.5952380952380951,0.4000000000000001,0.5674496644295302,0.5841619318181819,0.2611111111111111,0.5714285714285714,0.24390243902439024,0.24390243902439024
9,0.4189723320158102,0.36000000000000004,0.05,0.535483870967742,0.08571428571428572,0.5217391304347826,0.44690265486725667,0.6635514018691588,0.31481481481481477,0.19047619047619047,0.1764705882352941,0.05263157894736842,0.4561403508771929,0.2708333333333333,0.09473684210526317,0.3133433283358321,0.6666666666666665,0.19761904761904764,0.5952380952380952,0.5572519083969466,0.1859737006887915,0.18323586744639375,0.6560781918142945,0.7091561938958707,0.5641025641025641,0.819672131147541,0.5,0.5396518375241779,0.746031746031746,0.4937500000000001,0.7734899328859062,0.7965198863636362,0.34444444444444444,0.7142857142857142,0.24390243902439024,0.24390243902439024
