,New England : wind,New England : all utility-scale solar,Maine : wind,Massachusetts : wind,New Hampshire : wind
New England : wind,0.06584920011241961,-0.024853286725232585,0.06400876077047774,0.05816010535030708,0.05875773467992488
New England : all utility-scale solar,-0.024853286725232585,0.0801286765369941,-0.025012106247804186,-0.023698929496030943,-0.013849719284501894
Maine : wind,0.06400876077047774,-0.025012106247804186,0.06320184532415515,0.05354004476811492,0.05535014771856877
Massachusetts : wind,0.05816010535030708,-0.023698929496030943,0.05354004476811492,0.0661772883995106,0.05560143476810143
New Hampshire : wind,0.05875773467992488,-0.013849719284501894,0.05535014771856877,0.05560143476810143,0.05976456456456457
